entityid;route;rub;age;mois;annee;prd;abd;prf;abf;cumuld;cumulf;long;epaisseurdernierstravaux;anneedernierstravaux;naturedernierstravaux;supportdernierstravaux
05148902-109d-42cf-bd23-aeeda593b9a6;76 D0043;20;0;11;11;27;281;27;330;27529;27578;49;0,6;1994;ES;BB
051a1e72-4413-4e77-abb5-e015b6c48f72;76 D0007;20;0;9;11;64;634;65;310;66481;67159;678;1;2001;COUL;BB-REP
0527541b-c1fd-463e-ad8a-739267b670e4;76 D0915;20;0;6;11;27;622;31;887;26647;30961;4314;2;2007;BBTM;BB
052bf7ae-f86d-4ac4-9184-acc0fb90716a;76 D0022;20;0;7;7;74;127;75;867;74209;75957;1748;6;1998;BB;ES
053ae118-2925-4e65-b124-6277bf5554b3;76 D0004;20;0;7;7;3;748;7;441;3554;7271;3717;4;2006;BBSP;ES
053f8f97-916e-4c18-87a6-393c2ef589ee;76 D0453;20;0;2;9;1;581;1;832;1591;1842;251;1;2002;COUL;AC
05434fe9-9c91-408d-9b1b-9cb21b91445f;76 D0061;20;0;9;13;5;19;5;955;5072;6008;936;1,5;2005;BBUM;BB-REP
05465537-cf10-4a46-9128-4199698f1dab;76 D0030;20;0;7;7;12;166;12;867;12325;13026;701;4;2005;BBTM;ES
0556b004-1123-4b97-91c6-97548a70a029;76 D0261;20;0;7;7;0;0;0;480;0;480;480;4;1999;BB;ES
0575c033-3ad2-4516-9013-aee2975bff05;76 D0037;20;0;12;12;37;760;37;891;37897;38028;131;3;2002;BBSP;ES
05806df4-58bb-4c3e-9884-83fa553f35b7;76 D0925;20;0;7;7;99;965;100;273;99520;99801;281;3;2002;BBTM;COUL
0590283d-6ab3-44b0-b058-0857503bfa45;76 D0053;20;0;7;7;69;135;71;620;69432;71923;2491;1,5;2010;COUL;AC
05993ec6-e2b8-4f2b-9762-c25ee34df1be;76 D0057;20;0;9;11;15;443;15;475;15536;15568;32;1;2002;COUL;COUL
05a0a44b-cbe7-4d68-a84e-72c8727b0e7a;76 D0915;20;0;7;7;56;207;60;686;55559;60056;4497;4;2000;BB;COUL
05b9a947-e953-41c0-b39c-9a8242cbb51a;76 D0052;20;0;5;8;10;549;12;300;8499;10377;1878;4;1999;BB;BB
05c1d13e-e6ed-4211-aec6-1c3af25b103d;76 D0504;20;0;7;7;0;0;2;690;0;2699;2699;0,6;2005;COUL;BBTM
05c2388b-f99d-403e-9028-ba8085ffd025;76 D0084;20;0;9;11;13;938;14;480;11202;11745;543;1;2011;ES-MC;BB-REP
05d4f74a-94a6-4b28-9904-73c34064c8e3;76 D0256;20;0;7;7;0;0;0;424;0;424;424;1;1998;COUL;BBTM
05e891bc-25fd-4a08-abad-048ee7c3ce60;76 D0126;20;0;6;8;11;643;11;694;11840;11891;51;1,5;1998;ES;BB-REP
06009753-7ffd-4aa3-ba0f-cabfad94cdde;76 D0074;20;0;5;8;8;965;9;0;9010;9011;1;0;1995;ES;ES
0603debc-7822-454a-8625-e5602f75a9b2;76 D0025;20;0;7;7;7;421;8;0;7426;8069;643;3;2002;BBSP;ES
060c62d9-923f-4192-9437-baa989aef1bb;76 D0929;20;0;6;11;6;60;6;963;6184;7087;903;4;2006;BB;ESLGg
0615bb79-fdc7-4b7e-a467-7a36ed53ba80;76 D0001B;20;0;7;8;0;0;0;90;0;90;90;1,5;1999;BBUM;ES
061f0351-aaba-4e84-ac7e-7f3ee62a6381;76 D6382  G;20;0;6;11;1;1291;3;940;2116;3560;1444;4;1993;BBM;AC
06274332-78c5-4c26-8fef-efc2b3229b6b;76 D0010;20;0;7;7;42;143;42;278;41621;41756;135;1;2005;COUL;BBTM
062d7015-e0db-4984-8d5a-35ba7b76c812;76 D0001;20;0;7;7;76;920;77;341;76884;77303;419;1;2007;COUL;BB-REP
062f6f18-3ce4-4559-8356-9f09c88efe1f;76 D0088;20;0;11;11;25;683;25;890;25693;25900;207;4;2007;BBM;ES
0652b8e2-f116-4192-8586-1ef64c6b9425;76 D0078;20;0;7;7;14;792;15;861;14834;15903;1069;2;2004;COUL;ES
065b6e04-25be-41d1-bd74-84f4f2ed0442;76 D0929;20;0;4;9;61;940;62;750;61579;62404;825;2;1996;ESLGg;!!!!!!
06703ae7-d19e-4822-b029-d4d451327b69;76 D0018E G;20;0;11;11;2;150;2;600;2138;2588;450;5;2012;BBSG;BB
06733a5e-f8c1-4e38-bd03-87b94b5cd701;76 E6015C1;20;0;10;13;0;0;0;198;0;198;198;1;2012;ECF-BC;AC
06739eaf-8515-4959-9cac-c203a391cdf9;76 D0039;20;0;7;7;9;609;11;890;9674;11959;2285;3;2011;ES-BC;BB
06819244-6cf2-4b3e-8294-34fa3e2b0d36;76 D0075;20;0;7;7;60;789;63;692;61045;63912;2867;4;1998;BB;BB
06836c37-30d1-4809-bb1d-510204febc24;76 D0925;20;0;10;13;132;0;134;918;131215;133893;2678;3;2001;BBTM;BBUM
068610c7-251a-4e99-ab0f-5b9a57d9c309;76 D0011;20;0;11;14;22;620;25;300;22846;25553;2707;1,2;2014;ES-BC;AC
0690fb3e-c692-4dd5-96c1-849946148bdb;76 D0081;20;0;7;7;30;845;31;1000;28870;30023;1153;4;2001;BB;COUL
06916c01-e0cc-4490-88aa-b8feac5b073c;76 D0001;20;0;11;9;71;533;72;0;71456;71978;522;2;2001;BB-REP;ES
06a4a73c-b425-47b1-ac90-6f3b0b2f778c;76 D0113E;20;0;7;7;0;340;1;461;340;1461;1121;0,5;2001;ES;ES
06b9d42b-be06-4b12-a6bc-6f0c691acc99;76 D0443;20;0;7;7;2;950;3;182;3028;3228;200;4;1998;BB;AC
06c5b1f1-8364-40d7-b154-df02ac8398bd;76 D0013;20;0;7;7;35;800;36;417;35381;35889;508;5;2000;BB;AC
06c9e023-1e18-4912-99d5-cef0589e2d65;76 D0111E;20;0;7;7;0;0;2;593;0;2560;2560;1;2001;COUL;BB
06cef4db-4615-4312-96e4-da856ef8ce7f;76 D0016;20;0;7;7;17;129;18;126;17087;18074;987;6;2005;BB-REP;BBUM
06cf0db8-a336-4a04-ba62-46e6734e5811;76 D0003;20;0;2;10;3;300;4;673;3302;4673;1371;4;2007;BBM;BBTM
06f729d1-0164-43d4-9af7-c98b9e91c6c8;76 D0982;20;0;9;12;70;534;70;671;77003;77140;137;3;2004;BBMP;!!!!!!
06fb262d-e939-42eb-9813-cb8871388091;76 D0095;20;0;7;7;0;0;1;500;0;1514;1514;1;2010;ES-MC;AC
0710a78e-0cd9-4116-adc0-fd8f7e3f2516;76 D0020;20;0;7;7;49;678;50;597;49917;50763;846;4;2002;BB;COUL
0711884c-53e7-462a-b870-dbd173a4425e;76 D0265;20;0;7;7;2;709;5;180;2704;5042;2338;0,6;2006;ES;ES
07291c5c-e33e-4342-8ddf-c23870314bd2;76 D0057;20;0;7;7;14;26;15;433;14135;15526;1391;2;2005;BB-REP;ES
0732f171-ce89-4856-8690-9171fd54b338;76 D0094;20;0;12;7;8;152;8;483;8142;8473;331;4;2005;BB;GB
073a1ca9-b8cf-4c59-9727-47179060a67c;76 D0052;20;0;9;12;0;0;0;2197;0;2197;2197;6;2007;BB;GB
074f0dca-4f68-4f49-a21e-1e07ad1ed2e8;76 D0443;20;0;7;7;2;60;2;570;2138;2648;510;1,5;1993;BBUM;BB-REP
075ca46e-a18b-465a-8f3d-490be887a699;76 E6382B3;20;0;7;7;0;0;0;153;0;153;153;9999,99;1900;!!!!!!;BB
0765e54c-a29a-4372-9a30-251d0dd42d7f;76 D0173  G;20;0;7;7;10;277;10;1070;4735;5528;793;6;1993;BB;BB
076794ae-5676-40be-bcac-8acd783c93bd;76 D0910A;20;0;7;7;0;0;0;139;0;139;139;6;2002;BBELA;BETO
076c5024-d324-4715-8dee-321726cf2ab3;76 D0222;20;0;11;14;4;420;4;478;4382;4440;58;1,5;2014;ECF-MC;AC
0784079a-a888-43e8-a094-ea5b92c2d76c;76 D0051;20;0;7;7;21;188;21;752;21624;22188;564;4;2001;BB;AC
07b249d4-26e7-4f4e-a471-23ddae143c19;76 D0095;20;0;8;11;1;500;1;700;1514;1714;200;3,5;1997;BBTM;AC
07b49c88-bee7-4836-bb47-3c37c2c65aaf;76 D0910;20;0;7;7;16;600;18;588;18347;20346;1999;4;1986;BB;BB
07bc5254-88d7-4cb4-bb80-d25be8517c6b;76 D0015;20;0;9;7;16;350;19;172;16415;19276;2861;2;2007;BB-REP;ES
07da60b3-9f03-4e1a-b2a8-17be89e4ada6;76 D0018E;20;0;12;7;12;675;12;810;12831;12966;135;6;1997;BB;GB
07dcd4b0-3f10-4bfa-8729-84fae023a650;76 D0149;20;0;7;7;9;305;12;665;9339;12709;3370;6;2001;BB;BB
07e34a07-ddae-4dcd-9262-1947ed51cf33;76 D0023;20;0;7;7;9;766;9;781;9802;9817;15;0,6;1997;ES;ES
07ed2243-a7a2-4160-a50d-8237ce6e3735;76 D0091;20;0;7;7;10;475;11;430;10520;11496;976;1,6;2002;BBUM;BB-REP
07ee6bc8-c886-4d86-b0b5-711b6d1c86d2;76 D0015;20;0;9;13;40;310;40;415;40526;40631;105;2,5;1999;BBTM;AC
07f0a306-c06f-4ab3-89b0-7020d49f30ac;76 D0154E;20;0;7;7;0;78;1;0;78;1002;924;2,5;2000;BBTM;BB
080478b3-e910-402f-bbb5-3efbe7677faf;76 D0940;20;0;7;7;36;313;36;616;36907;37210;303;2;2008;COUL;BB
080d4fed-0580-4b67-9842-25d59723b462;76 D0027;20;0;4;9;23;637;24;800;23757;24962;1205;4;2002;BBM;COUL
08380f94-4478-45f2-bb27-dae18247756e;76 D0031;20;0;10;12;18;0;18;73;19113;19186;73;5;2000;BB;BB-REP
084a6479-d0ce-4af8-b6d4-7e91c8c489ed;76 D0009;20;0;7;7;27;340;28;961;27311;28894;1583;1,5;2005;COUL;BBTM
084b2b4c-49d9-42e6-b319-888937e7adaa;76 D0261;20;0;7;7;0;480;0;600;480;600;120;1;1999;COUL;ES
086d5d36-d8ca-45f3-93a5-c14e185dbd65;76 D0115;20;0;7;7;17;686;18;350;17864;18531;667;3;2000;BBTM;ES
